"user_id","item_id"
"19052485","343299064"
"32060788","71796857"
"17219776","128702084"
"28883723","260226898"
"138780010","401070714"
"56011760","98656648"
"60956726","341849097"
"25737649","17712290"
"128338662","311499944"
"122132057","303205878"
"17448412","374880559"
"5369231","394658338"
"42793246","125634399"
"5708087","249026377"
"58399743","217054155"
"135809553","188340393"
"62164715","257492055"
"19170635","300930741"
"13492065","280674759"
"134116374","293229160"
"134116374","167063158"
"120306985","75693482"
"110948224","202804844"
"4209449","69692737"
"56818905","192196843"
"447828","206016051"
"132626507","34223154"
"62164715","133142898"
"53091371","295303738"
"53091371","260475256"
"121299887","336162847"
"58517586","314069950"
"13709817","299941043"
"50260039","275264557"
"135200142","283700887"
"27317801","68820487"
"12506484","287388185"
"17562880","89075900"
"17562880","392337274"
"17562880","389880109"
"12952941","316324532"
"112141018","33069267"
"122645273","346551228"
"138589540","170742994"
"40165705","117547812"
"34756237","131904115"
"111408175","298206428"
"40528453","24106739"
"64047083","142375514"
"21150501","327378015"
"103823974","37910916"
"56993964","305742819"
"54594113","165101425"
"135944085","288901291"
"57679953","333028913"
"28557548","1696120"
"28178051","249403460"
"49669986","259013587"
"138961180","98603220"
"112141018","239817985"
"112141018","20997179"
"111382789","261554871"
"137640381","205571401"
"29235785","139744584"
"106778951","154455248"
"62879735","384038335"
"50114359","283687321"
"132236660","381125638"
"63623282","244553557"
"135378246","154200932"
"60380684","237223630"
"41686678","385753960"
"53976869","43508009"
"27496280","86610821"
"35482754","307600160"
"115761083","269477241"
"123839396","173802353"
"134979525","338630082"
"122132057","288398671"
"3777256","31609311"
"36198131","258349063"
"135894801","233678245"
"135567210","78957582"
"50805790","127342263"
"110946571","165101425"
"122630648","334485827"
"124700441","400640340"
"50783368","374214353"
"132424760","69977335"
"18594472","85202142"
"4915814","343575787"
"138961180","243088323"
"122802170","156394710"
"115761083","64989800"
"132626507","351696515"
"50114359","229347739"
"116340014","298564848"
"26412532","357375905"
"116340014","54198076"
"112619968","95867699"
"106346810","258826379"
"20612499","401410730"
"37100390","114936116"
"48967362","68940123"
"40528453","112501186"
"26037919","83998781"
"46312028","97529977"
"128008896","137318721"
"44182382","291503193"
"110128897","287227617"
"110961790","276237060"
"114370733","388998815"
