"user_id","item_id"
120306985,75693482
32060788,71796857
19052485,343299064
56011760,98656648
28883723,260226898
25737649,17712290
17219776,128702084
103823974,37910916
13492065,280674759
134116374,293229160
134116374,167063158
135809553,188340393
60956726,341849097
121299887,336162847
50260039,275264557
122132057,303205878
58399743,217054155
5708087,249026377
122645273,346551228
19170635,300930741
135200142,283700887
62164715,257492055
42793246,125634399
17448412,374880559
132626507,34223154
128338662,311499944
56993964,305742819
138780010,401070714
110948224,202804844
40528453,319719400
13709817,299941043
122802170,156394710
62164715,133142898
17562880,392337274
17562880,389880109
58517586,314069950
17562880,89075900
27317801,68820487
12506484,287388185
116340014,298564848
12952941,316324532
49669986,259013587
28178051,249403460
132424760,69977335
138589540,170742994
138961180,98603220
5369231,394658338
34756237,131904115
62879735,384038335
21150501,327378015
50805790,127342263
41686678,385753960
111408175,298206428
60380684,237223630
132236660,381125638
54594113,165101425
50783368,374214353
27496280,86610821
50114359,283687321
137640381,205571401
4915814,343575787
42873856,25790243
35482754,307600160
50114359,229347739
53976869,43508009
116523407,360817002
134979525,338630082
135944085,288901291
57679953,333028913
56818905,192196843
3777256,31609311
63623282,244553557
36198131,258349063
4209449,69692737
122132057,288398671
4498439,74977824
114370733,388998815
6357161,372332367
447828,206016051
11366706,233101284
106778951,154455248
31182685,73233753
121883405,271705542
48967362,68940123
44182382,291503193
46312028,120428365
110961790,276237060
112619968,95867699
105805055,216704309
17562880,375360011
100422676,175957404
112141018,33069267
132626507,351696515
122630648,334485827
135809553,292173570
106346810,258826379
137758701,304333357
27317801,310795574
127919298,323349755
127919298,18189868
101823100,80784169
107264414,274520757
124700441,400640340
135378246,154200932
42793246,324456403
11366706,119234970
132626507,24376695
132626507,179516225
132626507,140610787
120305341,166385385
29684399,134632501
40528453,24106739
112658053,307542920
112658053,239896170
112658053,1061648
116340014,54198076
103582819,190639367
10820115,230857279
132626507,299440985
37100390,114936116
11594934,55807645
11594934,55559718
11594934,144053049
40528453,112501186
18249259,80411699
106346810,356374095
112658053,49276500
112658053,220520698
138709606,386751326
122645273,33222349
121883405,274749242
140318987,341161365
26412532,357375905
57269349,346412925
18594472,85202142
103582819,104794920
103459768,113311445
26037919,83998781
26926537,262414625
121883405,349199984
102506116,119439995
53091371,295303738
53091371,260475256
46312028,97529977
104597596,46031989
20612499,401410730
120306985,269081751
121883405,401061336
121883405,368485748
122645273,115296587
120305341,397652066
120305341,321551445
120305341,203040432
28557548,1696120
50142094,99521373
104550352,360143307
29235785,139744584
50783368,205542738
136286592,190177818
135567210,147681344
23730268,297853261
23730268,362544821
110128897,287227617
31182685,332581378
18594472,146230850
18594472,104202558
132755942,31238685
132755942,197488747
109579014,134427531
123839396,173802353
63623282,71364370
135200142,127213733
142191573,397670044
17562880,42957798
17562880,230261439
16195777,203279185
132541898,342241097
50260039,251443481
137758701,350064371
131856122,92695700
131856122,337528601
131856122,305340269
131856122,244288893
131856122,58774133
139777963,395568949
28883723,13504495
27317801,308393794
134116374,330667982
138210216,183333503
136592694,367289773
17562880,397385654
17562880,367985636
17562880,173137793
17562880,150001246
17465512,337991080
17171257,294328829
17171257,223441580
17171257,218880040
3285586,123026700
58517586,231003176
132626507,248015661
132626507,242949785
132626507,227984323
132626507,212379175
132626507,183562502
135894801,233678245
132755942,122057227
134116374,242125236
2171674,259819305
27317801,13653568
3285586,364060819
20657253,74031488
2854798,257727704
2854798,125518814
26926537,35161881
42793246,332975970
137507730,329887367
20231406,352931589
20231406,239791364
20231406,101153891
2854798,339607718
2854798,297886807
2854798,268766964
2854798,218415196
2854798,210553677
2854798,192885971
2854798,183548496
126674457,229937058
34792318,359916772
41944078,299178766
53457986,171877215
138961180,243088323
135567210,78957582
62263166,22181492
46770707,373589790
61432703,215191302
115761083,64989800
6264206,75310164
49235565,61973927
4915814,186653415
142191573,277149740
142159824,179625206
4968401,66804201
62693996,353217183
27496280,172658863
26412532,319618270
40528453,66985938
40528453,361357012
20612499,115992351
20170290,255284313
128008896,137318721
24472810,366516190
122132057,154516935
50142094,254127882
46729748,400840831
46729748,210012720
23730268,237583921
12952941,12307439
47688515,183873984
47688515,173265632
57380691,303002557
59556336,157378005
111413851,233216799
111413851,113752949
54594113,204461871
10129914,249618450
64509513,388477074
5708087,298172271
61432703,51734688
61432703,337098384
102784585,54928562
38026943,253800192
113512469,61064707
113512469,150429306
118509390,309984252
115761083,269477241
112141018,239817985
112141018,20997179
111382789,261554871
10876284,368359382
132626507,270899075
116523407,119930041
11026029,88964509
113010458,86463202
115856090,250568332
112631605,206607870
16476718,11672291
136948968,140883116
135567210,28644360
135567210,198472080
117199100,165999446
131395085,321599479
132626507,48267628
132626507,239537870
51318043,99705326
30009492,196793876
48362340,118448109
100422676,261916960
113445572,336693505
20501826,344294537
114099881,342049652
24360931,181797452
37020122,349757910
40165705,117547812
134116374,310599523
134116374,297991778
134116374,174227711
44110187,163037053
132626507,57047804
132236660,151793480
137507730,358788976
13709817,56872257
