"user_id","item_id"
57460275,331212270
46539368,186369027
121262927,242850512
62217770,287444888
50805790,335439804
41085817,128247101
49669986,367180865
49444128,352882725
49444128,162618129
63623282,124405283
63503114,340570491
48790890,337484257
48790890,113663460
46729748,310695911
46729748,140000262
6264206,352084967
100397503,43249679
47688515,214365407
137507730,389805996
40528453,161696840
40528453,153924274
39880280,13482377
39654332,301499587
29235785,329657395
46312028,322584815
46312028,197291039
46312028,163580440
45629939,21474169
61432703,56593125
61432703,53382385
57269349,42730171
17307610,277237436
20758953,50228869
20758953,21836842
48362340,57434964
39654332,334302879
20612499,368068808
20612499,336941305
2048794,199187082
20231406,75125844
1591612,353656592
34125247,204680146
3353347,26160986
3353347,164842579
139834975,224610957
24186535,147274225
23730268,376685315
32840272,207449114
142191573,44007043
139274689,47904066
35687702,282734411
10820115,61669031
140342846,196425668
140342846,168295469
29614901,332632241
2961442,351334128
27831488,328371723
26748949,45974177
26412532,269767436
26412532,267394734
26412532,122134024
53961920,158824352
141816551,404043314
141816551,385376939
141816551,173175079
22726524,272369633
138796450,324707959
138589540,128429914
137507730,283482855
132236660,180933374
127414902,232132288
127414902,141412895
136297512,351257873
36422153,216744349
127204677,51835235
131856122,286020089
131856122,254220669
131856122,163456075
134891106,5912528
134891106,179345572
134669262,57175645
132541898,325772600
123779201,161591464
24472810,385785865
24472810,122835018
2437852,310589979
43205692,312526728
43205692,219386888
128902392,182642736
12215373,296640464
122132057,401112094
121575080,403327701
121055447,238662769
42096946,196516706
126674457,364061260
127204677,330989907
125690411,30964096
24050440,257985909
23688622,5336733
23579299,259139642
